"X","X.1","X.2","Round.1","Round.1.1","X.3","Totals","Totals.1","Totals.2","Totals.3","Totals.4","Shooting","Shooting.1","Shooting.2","Per.Game","Per.Game.1","Per.Game.2","Per.Game.3","Advanced","Advanced.1","Advanced.2","Advanced.3","year"
"36","36","NJN","Soumaila Samake\samakso01","","2","47","303","68","76","5",".389","",".462","6.4","1.4","1.6","0.1","0.3",".046","-6.5","-0.3",0
"37","37","MIA","Eddie House\houseed01","Arizona State University","11","717","12405","5356","1223","1112",".409",".390",".851","17.3","7.5","1.7","1.6","20.0",".077","-1.5","1.6",0
"38","38","HOU","Eduardo Najera\najered01","University of Oklahoma","12","619","11213","3052","2307","493",".481",".311",".671","18.1","4.9","3.7","0.8","24.7",".106","0.3","6.4",0
"39","39","NYK","Lavor Postell\postela01","St. John's University","3","61","446","195","45","13",".335",".250",".795","7.3","3.2","0.7","0.2","-0.2","-.025","-8.6","-0.7",0
"40","40","ATL","Hanno Mottola\mottoha01","University of Utah","2","155","2360","715","442","75",".442",".063",".783","15.2","4.6","2.9","0.5","0.9",".019","-5.8","-2.3",0
"41","41","SAS","Chris Carrawell","Duke University","","","","","","","","","","","","","","","","","",0
"42","42","SEA","Olumide Oyedeji\oyedeol01","","3","93","587","127","196","11",".495","",".659","6.3","1.4","2.1","0.1","1.2",".095","-4.7","-0.4",0
"43","43","MIL","Michael Redd\reddmi01","Ohio State University","12","629","20104","11972","2411","1338",".447",".380",".838","32.0","19.0","3.8","2.1","55.9",".134","0.9","14.9",0
"44","44","DET","Brian Cardinal\cardibr01","Purdue University","12","456","6477","2108","1050","465",".408",".372",".861","14.2","4.6","2.3","1.0","15.4",".114","0.7","4.5",0
"45","45","SAC","Jabari Smith\smithja01","Louisiana State University","4","108","1063","329","178","66",".413",".125",".690","9.8","3.0","1.6","0.6","1.3",".058","-4.0","-0.5",0
"46","46","TOR","DeeAndre Hulett","College of the Sequoias","","","","","","","","","","","","","","","","","",0
"47","47","SEA","Josip Sesar","","","","","","","","","","","","","","","","","","",0
"48","48","PHI","Mark Karcher","Temple University","","","","","","","","","","","","","","","","","",0
"49","49","MIL","Jason Hart\hartja01","Syracuse University","9","341","5289","1623","567","774",".417",".315",".788","15.5","4.8","1.7","2.3","8.6",".078","-1.7","0.3",0
"50","50","UTA","Kaniel Dickens\dickeka01","University of Idaho","3","19","85","22","12","2",".400",".333",".750","4.5","1.2","0.6","0.1","0.1",".055","-5.0","-0.1",0
"51","51","MIN","Igor Rakocevic\rakocig01","","1","42","244","78","17","33",".379",".417",".806","5.8","1.9","0.4","0.8","0.1",".022","-7.1","-0.3",0
"52","52","MIA","Ernest Brown\browner01","Indian Hills Community College","1","3","21","3","6","0",".167","",".250","7.0","1.0","2.0","0.0","-0.2","-.349","-24.7","-0.1",0
"53","53","DEN","Dan McClintock\mcclida01","Northern Arizona University","1","6","58","18","17","1",".500","",".000","9.7","3.0","2.8","0.2","0.0",".007","-6.6","-0.1",0
"54","54","SAS","Cory Hightower","Indian Hills Community College","","","","","","","","","","","","","","","","","",0
"55","55","GSW","Chris Porter\portech01","Auburn University","1","51","1147","440","189","61",".389",".000",".667","22.5","8.6","3.7","1.2","0.2",".008","-4.6","-0.8",0
"56","56","IND","Jaquay Walls","University of Colorado","","","","","","","","","","","","","","","","","",0
"57","57","ATL","Scoonie Penn","Ohio State University","","","","","","","","","","","","","","","","","",0
"58","58","DAL","Pete Mickeal","University of Cincinnati","","","","","","","","","","","","","","","","","",0
"1","1","WAS","Kwame Brown\brownkw01","","12","607","13389","4035","3333","554",".492",".111",".570","22.1","6.6","5.5","0.9","20.8",".074","-2.1","-0.4",1
"2","2","LAC","Tyson Chandler\chandty01","","18","1132","31369","9469","10391","961",".596",".000",".645","27.7","8.4","9.2","0.8","101.5",".155","1.5","27.4",1
"3","3","ATL","Pau Gasol\gasolpa01","","18","1224","40976","20890","11297","3924",".507",".368",".754","33.5","17.1","9.2","3.2","144.0",".169","3.5","56.9",1
"4","4","CHI","Eddy Curry\curryed01","","11","527","13109","6820","2725","287",".545","1.000",".642","24.9","12.9","5.2","0.5","21.7",".080","-3.5","-5.0",1
"5","5","GSW","Jason Richardson\richaja01","Michigan State University","13","857","29241","14644","4245","2284",".438",".370",".707","34.1","17.1","5.0","2.7","59.1",".097","1.3","24.4",1
"6","6","MEM","Shane Battier\battish01","Duke University","13","977","30004","8408","4082","1717",".437",".384",".743","30.7","8.6","4.2","1.8","75.7",".121","2.9","37.0",1
"7","7","NJN","Eddie Griffin\griffed01","Seton Hall University","5","303","6729","2171","1744","236",".377",".315",".671","22.2","7.2","5.8","0.8","10.9",".078","-1.0","1.7",1
"8","8","CLE","DeSagana Diop\diopde01","","12","601","8403","1185","2219","270",".427",".167",".467","14.0","2.0","3.7","0.4","12.8",".073","0.0","4.3",1
